epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,epoch_seconds,experiment_id,label,branches,seed,notebook_version,debug
10,0.3066193682140774,0.8929777777777778,0.6421449999570846,0.7998,0.1,45.35995674133301,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",2026,v1,False
11,0.2891246855417887,0.8982,0.636121715259552,0.8004,0.1,45.40537738800049,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",2026,v1,False
12,0.24911966346104938,0.9118444444444445,0.7926839416265488,0.7688,0.1,45.388648986816406,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",2026,v1,False
13,0.23109115739398534,0.9187111111111111,0.7017523132324218,0.7866,0.1,45.18986654281616,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",2026,v1,False
14,0.2096207038031684,0.9267555555555556,0.7370791075468064,0.779,0.1,45.04373574256897,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",2026,v1,False
15,0.20392745179600186,0.9300222222222222,0.7167145011901855,0.7902,0.1,45.05761742591858,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",2026,v1,False
16,0.19043323430220285,0.9337333333333333,0.7389702436685562,0.7978,0.1,44.931325912475586,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",2026,v1,False
17,0.18252182936668396,0.9364666666666667,0.7084705191850662,0.8002,0.1,44.843923807144165,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",2026,v1,False
18,0.17587733517487844,0.9382222222222222,0.6598743423938751,0.8084,0.1,44.889474630355835,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",2026,v1,False
19,0.16418350718021393,0.9432666666666667,0.7114281608819961,0.8056,0.1,44.91951847076416,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",2026,v1,False
