epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,epoch_seconds,experiment_id,label,branches,seed,notebook_version,debug
1,1.6842493967903984,0.3990666666666667,1.453018044090271,0.4722,0.05,37.966848611831665,sched_constant_warm,Constant + warm-up,schedule,42,v1,False
2,1.1313695201979743,0.5958,1.1617258926391603,0.6046,0.1,38.80694580078125,sched_constant_warm,Constant + warm-up,schedule,42,v1,False
3,0.7823615095350478,0.7258222222222223,0.7646815819740296,0.7344,0.1,39.848116397857666,sched_constant_warm,Constant + warm-up,schedule,42,v1,False
4,0.6211578454653423,0.7820666666666667,0.6854696994304657,0.7632,0.1,41.143399238586426,sched_constant_warm,Constant + warm-up,schedule,42,v1,False
5,0.5140839962853325,0.8209777777777778,0.7596246912956238,0.7498,0.1,41.35776209831238,sched_constant_warm,Constant + warm-up,schedule,42,v1,False
6,0.4468427742799123,0.8445111111111111,0.6133732697486878,0.7886,0.1,42.87348699569702,sched_constant_warm,Constant + warm-up,schedule,42,v1,False
7,0.39135843283865185,0.8639777777777777,0.8530725515127182,0.741,0.1,43.96588587760925,sched_constant_warm,Constant + warm-up,schedule,42,v1,False
8,0.34256139074961345,0.8796666666666667,0.6446713900566101,0.7904,0.1,43.82544660568237,sched_constant_warm,Constant + warm-up,schedule,42,v1,False
9,0.30996916655964324,0.8921333333333333,0.6964359021246433,0.791,0.1,44.2031831741333,sched_constant_warm,Constant + warm-up,schedule,42,v1,False
10,0.26969087624814775,0.9036222222222222,0.7225601454734802,0.7886,0.1,44.081350803375244,sched_constant_warm,Constant + warm-up,schedule,42,v1,False
11,0.2531933408366309,0.9108888888888889,0.7376767325401307,0.7804,0.1,45.27100348472595,sched_constant_warm,Constant + warm-up,schedule,42,v1,False
12,0.2319678144454956,0.9179555555555555,0.8117845376849174,0.7736,0.1,45.584033727645874,sched_constant_warm,Constant + warm-up,schedule,42,v1,False
13,0.22470169382625155,0.9215555555555556,0.6917708414494992,0.7966,0.1,44.42972111701965,sched_constant_warm,Constant + warm-up,schedule,42,v1,False
14,0.19918239125940534,0.9311333333333334,0.6893408583164216,0.8126,0.1,45.1094114780426,sched_constant_warm,Constant + warm-up,schedule,42,v1,False
15,0.19465046144856346,0.9316444444444445,0.704262267780304,0.79,0.1,44.264081716537476,sched_constant_warm,Constant + warm-up,schedule,42,v1,False
16,0.18379781328837078,0.9366222222222222,0.7204812972486019,0.7984,0.1,45.57617259025574,sched_constant_warm,Constant + warm-up,schedule,42,v1,False
17,0.18131714356210496,0.9360666666666667,0.6613467111110687,0.8184,0.1,44.58045721054077,sched_constant_warm,Constant + warm-up,schedule,42,v1,False
18,0.1688876791689131,0.94,0.697427470061183,0.8,0.1,44.84297275543213,sched_constant_warm,Constant + warm-up,schedule,42,v1,False
19,0.17526432363722058,0.9384444444444444,0.7376190613895655,0.7946,0.1,44.61319065093994,sched_constant_warm,Constant + warm-up,schedule,42,v1,False
20,0.1591770413822598,0.9448444444444445,0.7684695533514023,0.7934,0.1,44.3692045211792,sched_constant_warm,Constant + warm-up,schedule,42,v1,False
1,1.6467725971009997,0.4116888888888889,1.3771237917900085,0.5048,0.05,45.92377805709839,sched_constant_warm,Constant + warm-up,schedule,2026,v1,False
2,1.0674189323425294,0.6170888888888889,0.9407159548521042,0.6732,0.1,44.99253702163696,sched_constant_warm,Constant + warm-up,schedule,2026,v1,False
3,0.7528937298032973,0.7365555555555555,0.779850535941124,0.7304,0.1,44.971839427948,sched_constant_warm,Constant + warm-up,schedule,2026,v1,False
4,0.5939622683737013,0.7950444444444444,0.6456797846794129,0.7772,0.1,44.843132972717285,sched_constant_warm,Constant + warm-up,schedule,2026,v1,False
5,0.5100370748572879,0.824,0.6639352681040764,0.7716,0.1,44.82584524154663,sched_constant_warm,Constant + warm-up,schedule,2026,v1,False
6,0.43809942252900863,0.8488222222222223,0.6378856684923172,0.7806,0.1,46.648321866989136,sched_constant_warm,Constant + warm-up,schedule,2026,v1,False
7,0.389230480172899,0.8645333333333334,0.604765741443634,0.7968,0.1,46.43340849876404,sched_constant_warm,Constant + warm-up,schedule,2026,v1,False
8,0.3427218797418806,0.8801777777777777,0.6868232519149781,0.7746,0.1,45.68936085700989,sched_constant_warm,Constant + warm-up,schedule,2026,v1,False
9,0.3124314080662198,0.8904666666666666,0.7123237758755684,0.788,0.1,44.69958782196045,sched_constant_warm,Constant + warm-up,schedule,2026,v1,False
10,0.2804321012761858,0.9018666666666667,0.7486566805839538,0.7794,0.1,44.98227548599243,sched_constant_warm,Constant + warm-up,schedule,2026,v1,False
11,0.260155563015408,0.9091333333333333,0.6849980070590973,0.7914,0.1,45.93289637565613,sched_constant_warm,Constant + warm-up,schedule,2026,v1,False
12,0.2381188432428572,0.9170888888888888,0.7334161432743073,0.7862,0.1,45.224995851516724,sched_constant_warm,Constant + warm-up,schedule,2026,v1,False
13,0.2265050795502133,0.921,0.5931287134170532,0.8148,0.1,45.090763330459595,sched_constant_warm,Constant + warm-up,schedule,2026,v1,False
14,0.19968299293518066,0.9296,0.8299689198017121,0.7702,0.1,44.32021713256836,sched_constant_warm,Constant + warm-up,schedule,2026,v1,False
15,0.19716671392652724,0.9315555555555556,0.6805846384525299,0.796,0.1,45.092597246170044,sched_constant_warm,Constant + warm-up,schedule,2026,v1,False
16,0.1951089961104923,0.9305555555555556,0.7372704483747482,0.7968,0.1,46.06384539604187,sched_constant_warm,Constant + warm-up,schedule,2026,v1,False
17,0.1707905979845259,0.9412222222222222,0.7716039768218994,0.7914,0.1,44.51579403877258,sched_constant_warm,Constant + warm-up,schedule,2026,v1,False
18,0.18047952081892227,0.9372666666666667,0.7542983148574829,0.8016,0.1,44.800128698349,sched_constant_warm,Constant + warm-up,schedule,2026,v1,False
19,0.16181228955586752,0.9442,0.8996230058759451,0.7708,0.1,44.482333183288574,sched_constant_warm,Constant + warm-up,schedule,2026,v1,False
20,0.16792811286714343,0.9420222222222222,0.6816092180490494,0.811,0.1,44.745849609375,sched_constant_warm,Constant + warm-up,schedule,2026,v1,False
1,2.2244409505844116,0.218,1.826911054801941,0.3308,0.1,46.176673889160156,sched_step,Step decay,schedule,42,v1,False
2,1.5471523085488212,0.425,1.4106270545959472,0.485,0.1,44.538360595703125,sched_step,Step decay,schedule,42,v1,False
3,1.2490691933102078,0.5465777777777778,1.4314698929786682,0.5042,0.1,45.16341280937195,sched_step,Step decay,schedule,42,v1,False
4,1.0230456844117906,0.6355777777777778,0.9828889100551605,0.6628,0.1,44.66602444648743,sched_step,Step decay,schedule,42,v1,False
5,0.857189251200358,0.6948888888888889,0.8761611264705658,0.694,0.1,45.13502621650696,sched_step,Step decay,schedule,42,v1,False
6,0.7117978304015266,0.7495333333333334,0.7602124853134156,0.7404,0.1,44.860243797302246,sched_step,Step decay,schedule,42,v1,False
7,0.6076740183406406,0.7856222222222222,0.7058893429756165,0.7596,0.1,45.13003134727478,sched_step,Step decay,schedule,42,v1,False
8,0.3355870279179679,0.8856888888888889,0.47616686570346356,0.8368,0.010000000000000002,44.64211416244507,sched_step,Step decay,schedule,42,v1,False
9,0.24507042117648656,0.9174666666666667,0.4611840363442898,0.841,0.010000000000000002,44.60782289505005,sched_step,Step decay,schedule,42,v1,False
10,0.185543145192994,0.9396666666666667,0.4820842477068305,0.8452,0.010000000000000002,45.66297364234924,sched_step,Step decay,schedule,42,v1,False
11,0.12920574590232636,0.9596888888888889,0.5014343533776701,0.8452,0.010000000000000002,45.14494490623474,sched_step,Step decay,schedule,42,v1,False
12,0.07928349982235167,0.9786222222222222,0.5416182026598603,0.8408,0.010000000000000002,44.84575963020325,sched_step,Step decay,schedule,42,v1,False
