experiment_id,label,branches,seed,optimizer,lr,momentum,weight_decay,schedule,warmup_epochs,step_size,gamma,min_lr,normalization,batch_size,dropout,augmentation,early_stopping,patience,epochs_budget,best_val_accuracy,best_epoch,final_train_accuracy,final_val_accuracy,epochs_completed,total_seconds,gpu,python_version,torch_version,torchvision_version,numpy_version,pandas_version,matplotlib_version,split_seed,debug,notebook_version,finished_at
anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,sgd_momentum,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,0.812,16,0.9398888888888889,0.8038,20,886.3339898586273,Tesla T4,3.12.13,2.10.0+cu128,0.25.0+cu128,2.0.2,2.3.3,3.10.0,4653,False,v1,2026-08-22T14:03:33
anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",2026,sgd_momentum,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,0.8084,18,0.9402888888888888,0.8032,20,902.5114531517029,Tesla T4,3.12.13,2.10.0+cu128,0.25.0+cu128,2.0.2,2.3.3,3.10.0,4653,False,v1,2026-08-22T14:18:36
opt_sgd,SGD,optimizer,42,sgd,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,0.775,20,0.9886888888888888,0.775,20,900.2131175994873,Tesla T4,3.12.13,2.10.0+cu128,0.25.0+cu128,2.0.2,2.3.3,3.10.0,4653,False,v1,2026-08-22T14:33:36
opt_sgd,SGD,optimizer,2026,sgd,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,0.7766,18,0.9984,0.7524,20,902.0721576213837,Tesla T4,3.12.13,2.10.0+cu128,0.25.0+cu128,2.0.2,2.3.3,3.10.0,4653,False,v1,2026-08-22T14:48:39
opt_nesterov,Nesterov,optimizer,42,nesterov,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,0.8058,14,0.9407555555555556,0.7884,20,904.2730443477631,Tesla T4,3.12.13,2.10.0+cu128,0.25.0+cu128,2.0.2,2.3.3,3.10.0,4653,False,v1,2026-08-22T15:03:43
opt_nesterov,Nesterov,optimizer,2026,nesterov,0.1,0.9,0.0005,constant,0,7,0.1,1e-05,batch,128,0.0,False,False,4,20,0.8082,18,0.9440222222222222,0.7944,20,907.895060300827,Tesla T4,3.12.13,2.10.0+cu128,0.25.0+cu128,2.0.2,2.3.3,3.10.0,4653,False,v1,2026-08-22T15:18:51
