experiment_id,label,branches,seed,label_smoothing,optimizer,lr,momentum,weight_decay,schedule,normalization,batch_size,epochs_budget,epochs_completed,best_val_accuracy,best_epoch,test_accuracy,test_loss,test_checkpoint_epoch,final_train_accuracy,final_val_accuracy,training_seconds,test_seconds,total_seconds,train_size,val_size,test_size,checkpoint_rule,split_seed,gpu,python_version,torch_version,torchvision_version,numpy_version,pandas_version,matplotlib_version,debug,notebook_version,finished_at
ext_label_smoothing_01,Label smoothing ε=0.1,"extension,label_smoothing",42,0.1,sgd_momentum,0.1,0.9,0.0,constant,batch,128,20,20,0.8274,20,0.8285,0.6204424987792969,20,0.9999777777777777,0.8274,104.36307525634766,0.8038790225982666,105.16695427894592,45000,5000,10000,max_val_accuracy,4653,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,False,v3-extension,2026-08-24T01:34:06
ext_label_smoothing_01,Label smoothing ε=0.1,"extension,label_smoothing",2026,0.1,sgd_momentum,0.1,0.9,0.0,constant,batch,128,20,20,0.8244,16,0.8206,0.6369956678390503,16,0.9997777777777778,0.8226,103.62624859809875,0.7861514091491699,104.41240000724792,45000,5000,10000,max_val_accuracy,4653,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,False,v3-extension,2026-08-24T01:35:51
ext_control_v3,Control v3 (label smoothing=0),"extension,label_smoothing",42,0.0,sgd_momentum,0.1,0.9,0.0,constant,batch,128,20,20,0.8118,18,0.8037,1.0816663402557374,18,0.9940666666666667,0.8116,100.63145112991333,0.7996160984039307,101.43106722831726,45000,5000,10000,max_val_accuracy,4653,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,False,v3-extension,2026-08-24T01:37:33
ext_control_v3,Control v3 (label smoothing=0),"extension,label_smoothing",2026,0.0,sgd_momentum,0.1,0.9,0.0,constant,batch,128,20,20,0.798,18,0.7942,1.1716703372955322,18,0.9972888888888889,0.7976,101.14625144004822,0.7933688163757324,101.93962025642395,45000,5000,10000,max_val_accuracy,4653,NVIDIA L40S,3.11.15,2.13.0+cu130,0.28.0+cu130,2.4.6,3.0.5,3.11.1,False,v3-extension,2026-08-24T01:39:15
