global_step,loss,learning_rate,epoch,experiment_id,label,branches,seed,notebook_version,debug
840,1.3835070133209229,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
860,1.3424403667449951,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
880,1.3541948795318604,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
900,1.3932863473892212,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
920,1.1497223377227783,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
940,1.3814321756362915,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
960,1.2916275262832642,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
980,1.2014974355697632,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1000,1.151841640472412,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1020,1.2489557266235352,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1040,1.3207250833511353,0.1,3,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1060,1.1887028217315674,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1080,1.2311936616897583,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1100,1.4331905841827393,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1120,1.2316590547561646,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1140,1.2147725820541382,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1160,1.1758930683135986,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1180,1.0607759952545166,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1200,1.0849201679229736,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1220,1.1227760314941406,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1240,0.8504247665405273,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
1260,1.0704071521759033,0.1,4,anchor,SGD momentum + WD + constant + BN/b128,"optimizer,schedule,normalization,regularization",42,v2,False
