epoch,train_objective_loss,train_hard_ce_loss,train_accuracy,val_loss,val_accuracy,learning_rate,epoch_seconds,experiment_id,label,seed,label_smoothing,notebook_version,debug
1,2.1951253353966607,2.1300697505739,0.24375555555555556,1.6376644920349122,0.3972,0.1,5.45472264289856,ext_label_smoothing_01,Label smoothing ε=0.1,42,0.1,v3-extension,False
2,1.6438659847895305,1.4764863186942208,0.46353333333333335,1.3394441226959228,0.5194,0.1,5.0543553829193115,ext_label_smoothing_01,Label smoothing ε=0.1,42,0.1,v3-extension,False
3,1.407820283296373,1.1818231039047242,0.5881111111111111,1.0593066944122314,0.6444,0.1,5.194883823394775,ext_label_smoothing_01,Label smoothing ε=0.1,42,0.1,v3-extension,False
4,1.2233922134187487,0.952674721452925,0.6808888888888889,0.9136537103652954,0.6942,0.1,5.126125335693359,ext_label_smoothing_01,Label smoothing ε=0.1,42,0.1,v3-extension,False
5,1.0779850271860758,0.7726081853018867,0.7515111111111111,0.8454492885112762,0.7182,0.1,5.180744647979736,ext_label_smoothing_01,Label smoothing ε=0.1,42,0.1,v3-extension,False
6,0.9589761501100328,0.6250891185230679,0.8084444444444444,0.7406462423324585,0.7552,0.1,5.483561038970947,ext_label_smoothing_01,Label smoothing ε=0.1,42,0.1,v3-extension,False
7,0.8532645476871067,0.49204471940994265,0.8563555555555555,0.6918318807125091,0.7714,0.1,5.246138572692871,ext_label_smoothing_01,Label smoothing ε=0.1,42,0.1,v3-extension,False
8,0.7488217394510905,0.3621497300465902,0.9091111111111111,0.6982635241985321,0.7774,0.1,5.213357925415039,ext_label_smoothing_01,Label smoothing ε=0.1,42,0.1,v3-extension,False
9,0.6541517008675469,0.24554382120768228,0.9559777777777778,0.696775371837616,0.7834,0.1,5.144452810287476,ext_label_smoothing_01,Label smoothing ε=0.1,42,0.1,v3-extension,False
10,0.585311444483863,0.16777725004090202,0.9864444444444445,0.674847043800354,0.794,0.1,5.117100954055786,ext_label_smoothing_01,Label smoothing ε=0.1,42,0.1,v3-extension,False
11,0.5484278683980306,0.13100067095888984,0.9962666666666666,0.6524277572154998,0.8016,0.1,5.12226128578186,ext_label_smoothing_01,Label smoothing ε=0.1,42,0.1,v3-extension,False
12,0.5275199712647332,0.11282585705121358,0.9989777777777777,0.6087903326034546,0.8204,0.1,5.134280443191528,ext_label_smoothing_01,Label smoothing ε=0.1,42,0.1,v3-extension,False
13,0.5185438116709391,0.1060707338253657,0.9995555555555555,0.6032006805419922,0.8234,0.1,5.303997755050659,ext_label_smoothing_01,Label smoothing ε=0.1,42,0.1,v3-extension,False
14,0.5137280044131809,0.10269821208318075,0.9997111111111111,0.6116540675401687,0.8212,0.1,5.3132147789001465,ext_label_smoothing_01,Label smoothing ε=0.1,42,0.1,v3-extension,False
15,0.5113955417950948,0.10119030235873329,0.9998,0.6106120949268341,0.8246,0.1,5.148026466369629,ext_label_smoothing_01,Label smoothing ε=0.1,42,0.1,v3-extension,False
16,0.5095323399013943,0.09988959983587264,0.9998888888888889,0.6062198915004731,0.8244,0.1,5.212203025817871,ext_label_smoothing_01,Label smoothing ε=0.1,42,0.1,v3-extension,False
17,0.5084585344208611,0.09942178865803612,0.9998222222222222,0.6028041728258133,0.8248,0.1,5.160553216934204,ext_label_smoothing_01,Label smoothing ε=0.1,42,0.1,v3-extension,False
18,0.507724901538425,0.09892386765215132,0.9997777777777778,0.6293357209444046,0.8166,0.1,5.1541008949279785,ext_label_smoothing_01,Label smoothing ε=0.1,42,0.1,v3-extension,False
19,0.5068553893725077,0.09810349288251664,0.9999555555555556,0.6149331424713135,0.8252,0.1,5.19654107093811,ext_label_smoothing_01,Label smoothing ε=0.1,42,0.1,v3-extension,False
20,0.5059033132765028,0.09772929224173228,0.9999777777777777,0.6093097292900086,0.8274,0.1,5.2939207553863525,ext_label_smoothing_01,Label smoothing ε=0.1,42,0.1,v3-extension,False
1,2.010274422370063,1.903575098016527,0.3289111111111111,1.4977207521438598,0.4586,0.1,5.15551495552063,ext_label_smoothing_01,Label smoothing ε=0.1,2026,0.1,v3-extension,False
2,1.5448889025582209,1.3529086610794068,0.5169777777777778,1.288479460144043,0.5468,0.1,5.168545722961426,ext_label_smoothing_01,Label smoothing ε=0.1,2026,0.1,v3-extension,False
3,1.3205707311418322,1.0728421520339118,0.6319777777777777,0.9879490556716919,0.663,0.1,5.232679605484009,ext_label_smoothing_01,Label smoothing ε=0.1,2026,0.1,v3-extension,False
4,1.1442383175320094,0.8532607076221043,0.7184222222222222,0.885467009305954,0.705,0.1,5.271397113800049,ext_label_smoothing_01,Label smoothing ε=0.1,2026,0.1,v3-extension,False
5,1.0075688049104479,0.6820125435193379,0.7859777777777778,0.8486955160140991,0.7214,0.1,5.244418382644653,ext_label_smoothing_01,Label smoothing ε=0.1,2026,0.1,v3-extension,False
6,0.8875742453681098,0.5328487891938951,0.8430666666666666,0.7776079740524292,0.7448,0.1,5.197282791137695,ext_label_smoothing_01,Label smoothing ε=0.1,2026,0.1,v3-extension,False
7,0.7780550292332967,0.3970499657471975,0.8956222222222222,0.7051155151367188,0.7748,0.1,5.131089448928833,ext_label_smoothing_01,Label smoothing ε=0.1,2026,0.1,v3-extension,False
8,0.6806467961629232,0.2771062925179799,0.944,0.6957224758148194,0.7806,0.1,5.192008972167969,ext_label_smoothing_01,Label smoothing ε=0.1,2026,0.1,v3-extension,False
9,0.6045807139926487,0.18826822124852075,0.9784,0.7064245181560517,0.78,0.1,5.105452299118042,ext_label_smoothing_01,Label smoothing ε=0.1,2026,0.1,v3-extension,False
10,0.5582218052334256,0.14151963331037098,0.9934222222222222,0.6494620043516159,0.8114,0.1,5.303768634796143,ext_label_smoothing_01,Label smoothing ε=0.1,2026,0.1,v3-extension,False
11,0.5339613437334696,0.11944973377386729,0.9970666666666667,0.6294312504529953,0.8124,0.1,5.290196180343628,ext_label_smoothing_01,Label smoothing ε=0.1,2026,0.1,v3-extension,False
12,0.5234126890500387,0.1105421458085378,0.9983555555555556,0.6238569915294647,0.8238,0.1,5.0360448360443115,ext_label_smoothing_01,Label smoothing ε=0.1,2026,0.1,v3-extension,False
13,0.5185277080959744,0.10737207965453466,0.9984888888888889,0.6196005073070526,0.8174,0.1,5.090208053588867,ext_label_smoothing_01,Label smoothing ε=0.1,2026,0.1,v3-extension,False
14,0.5140277516259087,0.10335593125687705,0.9992666666666666,0.6240509422898293,0.8184,0.1,5.1219189167022705,ext_label_smoothing_01,Label smoothing ε=0.1,2026,0.1,v3-extension,False
15,0.512073115295834,0.10226988459825516,0.9993777777777778,0.6289189768791199,0.8218,0.1,5.114992380142212,ext_label_smoothing_01,Label smoothing ε=0.1,2026,0.1,v3-extension,False
16,0.5107253944185045,0.10118015263213051,0.9994,0.6201890852928161,0.8244,0.1,5.0942161083221436,ext_label_smoothing_01,Label smoothing ε=0.1,2026,0.1,v3-extension,False
17,0.5096155230416192,0.10065236907137765,0.9993555555555556,0.627739229798317,0.8204,0.1,5.170124053955078,ext_label_smoothing_01,Label smoothing ε=0.1,2026,0.1,v3-extension,False
18,0.5080402574857076,0.09920031404627694,0.9997111111111111,0.6211508187055588,0.8238,0.1,5.295283079147339,ext_label_smoothing_01,Label smoothing ε=0.1,2026,0.1,v3-extension,False
19,0.507362186325921,0.09886193103657828,0.9996666666666667,0.6302602838993072,0.8228,0.1,5.143991470336914,ext_label_smoothing_01,Label smoothing ε=0.1,2026,0.1,v3-extension,False
20,0.5066354114108615,0.0984761577765147,0.9997777777777778,0.6231095364570618,0.8226,0.1,5.189947128295898,ext_label_smoothing_01,Label smoothing ε=0.1,2026,0.1,v3-extension,False
